395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,False
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
